,Unnamed: 0,조사기준일,시도,행정구,"교육
(지원)청",학교급,"고등학교
유형",운영상특례,"학교
세부유형",학교명,본분교,설립,주야,"남녀공학
구분",상태,지역규모,통합구분,개교일,우편번호,주소,전화번호,팩스번호,홈페이지,편성학급수_계,1학년_학급수,2학년_학급수,3학년_학급수,4학년_학급수,5학년_학급수,6학년_학급수,학생수_총계_계,학생수_총계_남,학생수_총계_여,1학년_학생수_계,1학년_학생수_남,1학년_학생수_여,2학년_학생수_계,2학년_학생수_남,2학년_학생수_여,3학년_학생수_계,3학년_학생수_남,3학년_학생수_여,4학년_학생수_계,4학년_학생수_남,4학년_학생수_여,5학년_학생수_계,5학년_학생수_남,5학년_학생수_여,6학년_학생수_계,6학년_학생수_남,6학년_학생수_여,"학급당
 학생수",교원수_총계_계,교원수_총계_남,교원수_총계_여,교원수_정규교원_계,교원수_정규교원_남,교원수_정규교원_여,교원수_정규_교장_계,교원수_정규_교장_남,교원수_정규_교장_여,교원수_정규_교감_계,교원수_정규_교감_남,교원수_정규_교감_여,교원수_정규_수석_계,교원수_정규_수석_남,교원수_정규_수석_여,교원수_정규_보직_계,교원수_정규_보직_남,교원수_정규_보직_여,교원수_정규_일반_계,교원수_정규_일반_남,교원수_정규_일반_여,교원수_정규_특수_계,교원수_정규_특수_남,교원수_정규_특수_여,교원수_정규_상담_계,교원수_정규_상담_남,교원수_정규_상담_여,교원수_정규_사서_계,교원수_정규_사서_남,교원수_정규_사서_여,교원수_정규_실기_계,교원수_정규_실기_남,교원수_정규_실기_여,교원수_정규_보건_계,교원수_정규_보건_남,교원수_정규_보건_여,교원수_정규_영양_계,교원수_정규_영양_남,교원수_정규_영양_여,교원수_기간제_계,교원수_기간제_남,교원수_기간제_여,교원1인당 학생수,전체직원_계_x,전체직원_남,전체직원_여,정규직원_계,정규직원_남,정규직원_여,전체직원_계_y,"일반
교실","교과
교실","특별
교실",수준별교실,"기타
교실",교지면적,"학생
1인당
교지면적",lat,lon,법정동코드
60,60,20231001,인천,남동구,동부,중학교,,해당없음,일반중학교,만수여자중학교,본교,공립,주간,여자,기존(원)교,특별/광역시,해당없음,19870301,215-25 ,인천광역시 남동구 만수로50번길 22-36 (만수동. 만수여자중학교),032-464-2262,032-468-7374,http://msgirls.icems.kr/,25,8,8,9,0,0,0,539,0,539,167,0,167,174,0,174,198,0,198,0,0,0,0,0,0,0,0,0,21.6,44,6,38,39,6,33,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,11.0,3.0,8.0,23.0,2.0,21.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5,0,5,12.3,16,1,15,3,1,2,17,24,3,10,0,1,12270,22.7,126.733941241306,37.4592028100199,28200103
61,61,20231001,인천,남동구,동부,중학교,,해당없음,일반중학교,만월중학교,본교,공립,주간,남여공학,기존(원)교,특별/광역시,해당없음,19920301,216-10 ,인천광역시 남동구 서창남순환로 22 (서창동. 만월중학교),032-457-4608,032-457-4601,http://www.manwol.icems.kr,32,11,10,11,0,0,0,986,497,489,361,178,183,304,156,148,321,163,158,0,0,0,0,0,0,0,0,0,30.8,67,11,56,50,7,43,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,2.0,9.0,33.0,4.0,29.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,17,4,13,14.7,18,2,16,4,1,3,17,31,2,6,0,6,12313,12.4,126.751930333896,37.4264703993453,28200105
62,62,20231001,인천,남동구,동부,중학교,,해당없음,일반중학교,상인천중학교,본교,공립,주간,남자,기존(원)교,특별/광역시,해당없음,19600406,215-46 ,인천광역시 남동구 백범로297번길 21 (간석동. 상인천중학교),032-422-0952,032-422-0941,http://sic.icems.kr,20,7,6,7,0,0,0,527,527,0,205,205,0,146,146,0,176,176,0,0,0,0,0,0,0,0,0,0,26.4,38,14,24,29,8,21,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,3.0,6.0,14.0,3.0,11.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,9,6,3,13.9,15,4,11,5,3,2,12,25,5,5,0,2,22058,41.5,126.716143068115,37.4613915777538,28200102
63,63,20231001,인천,남동구,동부,중학교,,해당없음,일반중학교,상인천여자중학교,본교,공립,주간,여자,기존(원)교,특별/광역시,해당없음,19610406,215-53 ,인천광역시 남동구 문화로169번길 30 (간석동1동) 상인천여자중학교,032-629-7589,032-437-9714,http://sicg.icems.kr,20,6,7,7,0,0,0,503,0,503,162,0,162,158,0,158,183,0,183,0,0,0,0,0,0,0,0,0,25.2,43,7,36,34,3,31,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,12.0,1.0,11.0,17.0,2.0,15.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9,4,5,11.7,17,3,14,3,1,2,17,21,0,6,1,1,10340,20.4,126.699397626696,37.4556318233103,28200102
73,73,20231001,인천,남동구,동부,중학교,,해당없음,일반중학교,인천고잔중학교,본교,공립,주간,남여공학,기존(원)교,특별/광역시,해당없음,20100301,216-76 ,인천광역시 남동구 논고개로 20 . 인천고잔중학교 (논현동),032-438-1380,032-438-1379,http://ikj.icems.kr,26,8,9,9,0,0,0,794,405,389,255,138,117,281,137,144,258,130,128,0,0,0,0,0,0,0,0,0,30.5,50,9,41,34,6,28,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,3.0,9.0,19.0,1.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,13,15.9,16,3,13,3,0,3,17,26,0,6,0,0,11201,14.0,126.731620060868,37.3960413948827,28200110
75,75,20231001,인천,남동구,동부,중학교,,해당없음,일반중학교,석정중학교,본교,공립,주간,남여공학,기존(원)교,특별/광역시,해당없음,20050301,215-03 ,인천광역시 남동구 방축로469번길 1 (간석동.석정중학교),032-425-0780,032-425-0781,http://seokjeong.icems.kr,20,7,6,7,0,0,0,533,287,246,194,113,81,177,93,84,162,81,81,0,0,0,0,0,0,0,0,0,26.7,38,8,30,27,5,22,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,13.0,1.0,12.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3,8,14.0,16,1,15,4,0,4,15,20,0,6,0,0,9834,18.4,126.694017401142,37.4692010792376,28200102
79,79,20231001,인천,남동구,동부,중학교,,해당없음,일반중학교,인천논현중학교,본교,공립,주간,남여공학,기존(원)교,특별/광역시,해당없음,20060301,216-62 ,인천광역시 남동구 포구로 118 (논현동.논현중학교),032-446-7910,032-446-7912,http://inh.icems.kr,35,11,12,12,0,0,0,993,510,483,347,186,161,332,167,165,314,157,157,0,0,0,0,0,0,0,0,0,28.4,61,16,45,48,14,34,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,6.0,6.0,32.0,6.0,26.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,11,16.3,17,1,16,4,0,4,19,35,0,6,0,1,11036,11.0,126.732546690331,37.408589455583,28200110
80,80,20231001,인천,남동구,동부,중학교,,해당없음,일반중학교,인천성리중학교,본교,공립,주간,남여공학,기존(원)교,특별/광역시,해당없음,20060301,215-81 ,인천광역시 남동구 성리로 26 (구월동. 성리중학교),032-469-3924,032-469-3931,http://sungri.icems.kr,28,9,9,10,0,0,0,775,370,405,278,138,140,246,119,127,251,113,138,0,0,0,0,0,0,0,0,0,27.7,50,10,40,39,9,30,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,11.0,21.0,4.0,17.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11,1,10,15.5,20,3,17,4,2,2,19,26,3,8,0,0,11948,15.4,126.709473628913,37.4450096898068,28200101
81,81,20231001,인천,남동구,동부,중학교,,해당없음,일반중학교,인천동방중학교,본교,공립,주간,남여공학,기존(원)교,특별/광역시,해당없음,20080301,216-51 ,인천광역시 남동구 논현역로 41 (논현동. 동방중학교),032-429-2922,032-429-2923,http://idb.icems.kr/,34,12,11,11,0,0,0,984,501,483,342,181,161,329,165,164,313,155,158,0,0,0,0,0,0,0,0,0,28.9,62,10,52,53,8,45,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,4.0,8.0,36.0,1.0,35.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9,2,7,15.9,17,0,17,3,0,3,17,34,0,7,0,1,11298,11.4,126.71905672415,37.4043015832056,28200110
82,82,20231001,인천,남동구,동부,중학교,,해당없음,일반중학교,인천정각중학교,본교,공립,주간,남여공학,기존(원)교,특별/광역시,해당없음,20080301,215-62 ,인천광역시 남동구 구월로 240 (구월동. 정각중학교),032-770-1700,032-770-1710,http://jeonggak.icems.kr,25,8,8,9,0,0,0,791,334,457,257,98,159,258,118,140,276,118,158,0,0,0,0,0,0,0,0,0,31.6,49,9,40,36,5,31,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,2.0,10.0,19.0,2.0,17.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,13,4,9,16.1,13,0,13,3,0,3,13,25,0,7,0,4,11221,14.2,126.71707283252,37.4557891674922,28200101
83,83,20231001,인천,남동구,동부,중학교,,해당없음,일반중학교,인천서창중학교,본교,공립,주간,남여공학,기존(원)교,특별/광역시,해당없음,20090302,216-04 ,인천광역시 남동구 독곡로60번길 16 (서창동. 인천서창중학교),032-473-0338,032-473-0341,http://isc.icems.kr,25,8,8,9,0,0,0,778,397,381,268,138,130,249,126,123,261,133,128,0,0,0,0,0,0,0,0,0,31.1,47,8,39,38,6,32,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,11.0,23.0,3.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,7,16.6,16,0,16,3,0,3,17,25,0,7,0,0,10756,13.7,126.749632079047,37.433709350631,28200105
85,85,20231001,인천,남동구,동부,중학교,,해당없음,일반중학교,숭덕여자중학교,본교,사립,주간,여자,기존(원)교,특별/광역시,해당없음,19660530,215-21 ,인천광역시 남동구 만수로73번길 20-23 (만수동. 숭덕여자중고등학교),032-462-5197,032-463-3825,http://soongduk.icems.kr,12,4,4,4,0,0,0,361,0,361,117,0,117,121,0,121,123,0,123,0,0,0,0,0,0,0,0,0,30.1,24,10,14,20,9,11,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,4.0,6.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4,1,3,15.0,5,3,2,4,3,1,5,12,0,3,0,0,0,0.0,126.733917139731,37.4642821062689,28200103
