,Unnamed: 0,조사기준일,시도,행정구,"교육
(지원)청",학교급,"고등학교
유형",운영상특례,"학교
세부유형",학교명,본분교,설립,주야,"남녀공학
구분",상태,지역규모,통합구분,개교일,우편번호,주소,전화번호,팩스번호,홈페이지,편성학급수_계,1학년_학급수,2학년_학급수,3학년_학급수,4학년_학급수,5학년_학급수,6학년_학급수,학생수_총계_계,학생수_총계_남,학생수_총계_여,1학년_학생수_계,1학년_학생수_남,1학년_학생수_여,2학년_학생수_계,2학년_학생수_남,2학년_학생수_여,3학년_학생수_계,3학년_학생수_남,3학년_학생수_여,4학년_학생수_계,4학년_학생수_남,4학년_학생수_여,5학년_학생수_계,5학년_학생수_남,5학년_학생수_여,6학년_학생수_계,6학년_학생수_남,6학년_학생수_여,"학급당
 학생수",교원수_총계_계,교원수_총계_남,교원수_총계_여,교원수_정규교원_계,교원수_정규교원_남,교원수_정규교원_여,교원수_정규_교장_계,교원수_정규_교장_남,교원수_정규_교장_여,교원수_정규_교감_계,교원수_정규_교감_남,교원수_정규_교감_여,교원수_정규_수석_계,교원수_정규_수석_남,교원수_정규_수석_여,교원수_정규_보직_계,교원수_정규_보직_남,교원수_정규_보직_여,교원수_정규_일반_계,교원수_정규_일반_남,교원수_정규_일반_여,교원수_정규_특수_계,교원수_정규_특수_남,교원수_정규_특수_여,교원수_정규_상담_계,교원수_정규_상담_남,교원수_정규_상담_여,교원수_정규_사서_계,교원수_정규_사서_남,교원수_정규_사서_여,교원수_정규_실기_계,교원수_정규_실기_남,교원수_정규_실기_여,교원수_정규_보건_계,교원수_정규_보건_남,교원수_정규_보건_여,교원수_정규_영양_계,교원수_정규_영양_남,교원수_정규_영양_여,교원수_기간제_계,교원수_기간제_남,교원수_기간제_여,교원1인당 학생수,전체직원_계_x,전체직원_남,전체직원_여,정규직원_계,정규직원_남,정규직원_여,전체직원_계_y,"일반
교실","교과
교실","특별
교실",수준별교실,"기타
교실",교지면적,"학생
1인당
교지면적",lat,lon,법정동코드
119,119,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천동부초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,19800707,215-20 ,인천광역시 남동구 만수서로33번길 25 (만수동.동부초등학교),032-629-4059,032-466-7463,http://dongbu-ice.icees.kr/main.do,26,4,4,5,4,5,4,475,238,237,69,26,43,87,50,37,75,35,40,70,36,34,107,59,48,67,32,35,18.3,37,7,30,32,5,27,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,19.0,1.0,18.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5,2,3,12.8,23,3,20,4,2,2,23,29,1,5,0,0,11888,24.1,126.728103537303,37.4627732880142,28200103
121,121,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천만수초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,19301101,215-91 ,인천광역시 남동구 소래로 652 (만수동. 만수초등학교),032-471-4252,032-471-4251,http://mansoo.icees.kr,15,2,3,2,2,2,4,261,124,137,42,21,21,49,17,32,47,23,24,34,19,15,44,21,23,45,23,22,17.4,22,10,12,19,10,9,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,10.0,3.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,3,11.9,14,2,12,4,1,3,14,18,0,11,0,4,12155,46.0,126.734694546398,37.4474028849255,28200103
122,122,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천만수북초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,19830301,215-24 ,인천광역시 남동구 백범로180번길 25 (만수동. 만수북초등학교),032-629-4359,032-466-7383,http://msb.icees.kr/main.do,36,6,5,6,6,7,6,767,400,367,117,47,70,111,59,52,105,57,48,134,81,53,151,76,75,149,80,69,21.3,51,9,42,46,8,38,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,2.0,10.0,26.0,5.0,21.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5,1,4,15.0,21,1,20,4,0,4,21,36,0,11,0,4,19263,24.6,126.728319125626,37.4591086576716,28200103
123,123,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천사리울초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,20110301,216-84 ,인천광역시 남동구 아암대로1437번길 50 (논현동. 사리울초등학교),032-438-9202,032-438-9210,http://sariul.icees.kr/,25,5,4,4,4,4,4,604,326,278,100,53,47,105,54,51,85,42,43,99,54,45,106,60,46,109,63,46,24.2,36,7,29,32,6,26,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,6.0,20.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4,1,3,16.8,18,1,17,4,0,4,18,28,1,3,0,0,10197,17.1,126.723517320873,37.3885780505932,28200110
124,124,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천송천초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,20110301,216-79 ,인천광역시 남동구 앵고개로815번길 45 (논현동),032-437-4860,032-437-4869,http://sc.icees.kr,21,3,3,3,3,4,5,421,205,216,62,32,30,58,25,33,61,33,28,76,32,44,80,45,35,84,38,46,20.0,30,4,26,28,4,24,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,4.0,17.0,1.0,16.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,0,2,14.0,22,4,18,6,2,4,22,26,0,5,0,3,10990,25.5,126.721956340631,37.3952605885322,28200110
126,126,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천원동초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,20110301,216-75 ,인천광역시 남동구 논고개로 38 (논현동. 원동초등학교),032-629-7085,032-442-7354,http://wondong.icees.kr,43,5,6,6,8,9,9,1079,533,546,131,70,61,142,71,71,164,74,90,191,106,85,231,106,125,220,106,114,25.1,61,12,49,54,11,43,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,5.0,7.0,37.0,5.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,7,1,6,17.7,21,2,19,5,1,4,21,46,0,3,0,2,10484,9.6,126.730439670027,37.3968657555183,28200110
127,127,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천만월초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,19890301,215-86 ,인천광역시 남동구 선수촌로 28 (구월동),032-469-3923,032-469-3720,http://manwol.icees.kr,52,8,7,9,9,9,10,1252,633,619,186,102,84,171,88,83,205,90,115,220,118,102,227,123,104,243,112,131,24.1,71,22,49,67,21,46,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,14.0,5.0,9.0,45.0,15.0,30.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4,1,3,17.6,27,2,25,4,1,3,27,55,0,4,0,0,12000,9.5,126.715189234793,37.4418582563688,28200101
129,129,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,상인천초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,19870901,215-50 ,인천광역시 남동구 석산로141번길 29 (간석동. 상인천초등학교),032-432-7692,032-431-7446,http://sangic.icees.kr/,23,3,4,4,3,4,5,479,249,230,60,23,37,86,46,40,68,39,29,73,46,27,94,47,47,98,48,50,20.8,34,7,27,30,5,25,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,7.0,16.0,1.0,15.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4,2,2,14.1,19,3,16,3,1,2,20,25,0,22,0,0,15419,32.6,126.706657128786,37.4612552448574,28200102
131,131,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천석정초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,19890407,215-03 ,인천광역시 남동구 석정로539번길 32 (간석동. 석정초등학교),032-431-3932,032-431-3935,http://icsj.icees.kr,40,6,8,7,7,6,6,925,459,466,139,67,72,168,92,76,162,81,81,153,70,83,145,67,78,158,82,76,23.1,57,18,39,49,16,33,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,5.0,9.0,30.0,9.0,21.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8,2,6,16.2,23,2,21,4,1,3,23,38,0,7,0,8,11514,12.3,126.695822150889,37.4669359202224,28200102
132,132,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천석천초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,19810301,215-61 ,인천광역시 남동구 남동대로 828 . 인천석천초등학교 (구월동),032-469-4020,032-469-0097,http://sce.icees.kr/,47,9,9,7,7,8,7,1103,599,504,165,83,82,218,125,93,179,98,81,175,102,73,201,107,94,165,84,81,23.5,64,16,48,59,16,43,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,11.0,5.0,6.0,41.0,11.0,30.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5,0,5,17.2,22,2,20,3,1,2,24,45,0,5,0,0,12869,11.7,126.709113853081,37.4566743691475,28200101
134,134,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천성리초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,19990301,215-81 ,인천광역시 남동구 성리로 32-2 (구월동. 성리초등학교),032-629-5617,032-472-0238,http://sungri.icees.kr,32,5,6,5,4,7,5,709,362,347,114,56,58,115,59,56,104,56,48,105,49,56,149,83,66,122,59,63,22.2,44,10,34,38,9,29,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,3.0,7.0,23.0,4.0,19.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6,1,5,16.1,19,0,19,3,0,3,21,34,0,3,0,1,12337,17.1,126.71056581367,37.4455435157036,28200101
135,135,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천소래초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,20020301,216-69 ,인천광역시 남동구 장도로 2 (논현동. 소래초등학교),032-446-5038,032-629-6004,http://soraecho.icees.kr,25,4,4,5,3,4,5,544,282,262,71,43,28,100,52,48,110,58,52,79,36,43,91,44,47,93,49,44,21.8,37,10,27,36,10,26,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,21.0,3.0,18.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1,0,1,14.7,20,1,19,3,0,3,20,29,0,7,0,0,11875,21.5,126.734300809481,37.4045335142621,28200110
137,137,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천약산초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,19840301,215-10 ,인천광역시 남동구 간석로26번길 10 (간석동. 약산초등학교),032-424-7204,032-429-2958,http://yaksan.icees.kr,37,7,6,5,6,6,7,621,296,325,99,47,52,119,63,56,91,47,44,99,45,54,105,45,60,108,49,59,16.8,50,14,36,46,14,32,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,6.0,6.0,29.0,7.0,22.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4,0,4,12.4,21,2,19,4,1,3,21,37,0,9,0,0,10584,16.9,126.710238367019,37.4677656676829,28200102
142,142,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천인동초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,20000301,215-18 ,인천광역시 남동구 백범로248번길 38 . 인천인동초등학교 (만수동),032-629-5780,032-466-6835,http://indong.icees.kr/,42,6,7,8,7,7,7,934,477,457,146,69,77,154,79,75,140,74,66,163,86,77,160,83,77,171,86,85,22.2,62,9,53,56,8,48,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,3.0,9.0,37.0,4.0,33.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,6,1,5,15.1,21,3,18,4,1,3,21,50,0,4,0,4,11405,11.9,126.722485235621,37.4625556985837,28200103
143,143,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천인수초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,19880901,215-28 ,인천광역시 남동구 인수로 3 (만수동) 인수초등학교,032-461-8906,032-461-5260,http://insu.icees.kr/main.do,23,3,3,5,3,5,4,338,160,178,50,26,24,55,25,30,56,30,26,54,25,29,60,27,33,63,27,36,14.7,38,9,29,34,9,25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,19.0,4.0,15.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4,0,4,8.9,16,1,15,3,0,3,16,26,2,5,0,0,13777,39.5,126.735496163902,37.4541005458306,28200103
144,144,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천장수초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,19910301,215-41 ,인천광역시 남동구 담방로 121 (만수동. 장수초등학교),032-463-4279,032-461-6292,http://jangsu.icees.kr/main.do,13,2,1,3,2,2,3,154,69,85,18,11,7,14,7,7,29,13,16,28,12,16,28,12,16,37,14,23,11.8,19,2,17,18,2,16,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,7.0,1.0,6.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1,0,1,8.1,13,1,12,3,0,3,14,18,0,3,0,0,11883,75.7,126.741650732891,37.4503382932454,28200103
145,145,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천장아초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,20190501,216-10 ,인천광역시 남동구 서창방산로 93 . 인천장아초등학교 (서창동),032-770-7013,032-465-7088,http://janga.icees.kr/main.do,42,6,9,8,6,7,6,1023,532,491,153,68,85,189,103,86,202,106,96,156,84,72,175,86,89,148,85,63,24.4,53,7,46,50,7,43,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,2.0,9.0,35.0,5.0,30.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3,0,3,19.3,26,3,23,4,1,3,25,46,0,10,0,0,15487,15.1,126.75407040956,37.4243184709169,28200105
146,146,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천조동초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,19871015,215-22 ,인천광역시 남동구 백범로124번길 164 (만수동. 조동초등학교),032-472-3012,032-472-3015,http://www.jodong.icees.kr,26,5,4,4,4,4,5,518,258,260,76,44,32,74,40,34,77,40,37,86,37,49,92,45,47,113,52,61,19.9,35,8,27,32,8,24,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,19.0,3.0,16.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3,0,3,14.8,19,5,14,4,2,2,19,30,0,12,0,6,12179,23.1,126.739207386345,37.4607463554472,28200103
147,147,20231001,인천,남동구,동부,초등학교,,해당없음,초등학교,인천주원초등학교,본교,공립,,,기존(원)교,특별/광역시,해당없음,19790901,215-06 ,인천광역시 남동구 주안로259번길 28 (간석동. 주원초등학교),032-431-0042,032-431-0043,http://juwon.icees.kr/,21,5,2,3,4,3,4,278,144,134,60,30,30,39,22,17,44,19,25,50,30,20,44,20,24,41,23,18,13.2,30,12,18,27,11,16,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,3.0,15.0,7.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3,1,2,9.3,18,2,16,3,0,3,18,25,1,2,0,0,12390,43.3,126.700681791886,37.465271913947,28200102
